{ 33551701, -1073807352, 0, 1073741824 },
{ 100614155, -1074593176, 6139, 1073741792 },
{ 167553830, -1076161947, 30649, 1073741537 },
{ 234289107, -1078507918, 85628, 1073740678 },
{ 300738716, -1081622488, 182950, 1073738650 },
{ 366821874, -1085494230, 334178, 1073734712 },
{ 432458424, -1090108920, 550474, 1073727954 },
{ 497568969, -1095449578, 842517, 1073717307 },
{ 562075009, -1101496517, 1220419, 1073701563 },
{ 625899070, -1108227398, 1693644, 1073679382 },
{ 688964840, -1115617296, 2270932, 1073649318 },
{ 751197288, -1123638767, 2960218, 1073609831 },
{ 812522799, -1132261930, 3768571, 1073559313 },
{ 872869286, -1141454548, 4702116, 1073496109 },
{ 932166318, -1151182120, 5765976, 1073418543 },
{ 990345226, -1161407981, 6964214, 1073324939 },
{ 1047339222, -1172093404, 8299773, 1073213652 },
{ 1103083498, -1183197708, 9774430, 1073083095 },
{ 1157515338, -1194678375, 11388751, 1072931767 },
{ 1210574207, -1206491168, 13142050, 1072758279 },
{ 1262201851, -1218590257, 15032355, 1072561391 },
{ 1312342384, -1230928346, 17056378, 1072340035 },
{ 1360942372, -1243456806, 19209497, 1072093347 },
{ 1407950908, -1256125813, 21485732, 1071820700 },
{ 1453319692, -1268884484, 23877740, 1071521730 },
{ 1497003092, -1281681022, 26376803, 1071196365 },
{ 1538958210, -1294462855, 28972835, 1070844857 },
{ 1579144939, -1307176791, 31654386, 1070467805 },
{ 1617526009, -1319769155, 34408655, 1070066186 },
{ 1654067038, -1332185945, 37221505, 1069641378 },
{ 1688736566, -1344372977, 40077495, 1069195184 },
{ 1721506090, -1356276036, 42959905, 1068729853 },
{ 1752350092, -1367841023, 45850774, 1068248105 },
{ 1781246056, -1379014104, 48730939, 1067753144 },
{ 1808174488, -1389741858, 51580089, 1067248680 },
{ 1833118922, -1399971418, 54376808, 1066738939 },
{ 1856065923, -1409650619, 57098644, 1066228677 },
{ 1877005085, -1418728136, 59722159, 1065723191 },
{ 1895929022, -1427153625, 62223008, 1065228324 },
{ 1912833352, -1434877854, 64576003, 1064750470 },
{ 1927716679, -1441852835, 66755191, 1064296575 },
{ 1940580566, -1448031954, 68733935, 1063874139 },
{ 1951429503, -1453370093, 70484997, 1063491207 },
{ 1960270871, -1457823749, 71980621, 1063156367 },
{ 1967114901, -1461351146, 73192629, 1062878738 },
{ 1971974623, -1463912346, 74092508, 1062667956 },
{ 1974865818, -1465469350, 74651506, 1062534161 },
{ 1975806961, -1465986198, 74840730, 1062487977 },
{ 1974819157, -1465429060, 74631241, 1062540490 },
{ 1971926074, -1463766319, 73994157, 1062703223 },
{ 1967153880, -1460968655, 72900750, 1062988113 },
{ 1960531161, -1457009111, 71322548, 1063407474 },
{ 1952088847, -1451863167, 69231436, 1063973972 },
{ 1941860129, -1445508792, 66599755, 1064700584 },
{ 1929880377, -1437926502, 63400405, 1065600562 },
{ 1916187047, -1429099399, 59606941, 1066687394 },
{ 1900819595, -1419013217, 55193671, 1067974763 },
{ 1883819381, -1407656346, 50135754, 1069476498 },
{ 1865229573, -1395019861, 44409291, 1071206535 },
{ 1845095047, -1381097535, 37991422, 1073178861 },
{ 1823462293, -1365885853, 30860406, 1075407472 },
{ 1800379306, -1349384010, 22995715, 1077906319 },
{ 1775895486, -1331593910, 14378115, 1080689253 },
{ 1750061534, -1312520153, 4989741, 1083769981 },
{ 1722929345, -1292170017, -5185824, 1087162001 },
{ 1694551902, -1270553435, -16163478, 1090878558 },
{ 1664983171, -1247682960, -27956536, 1094932583 },
{ 1634277990, -1223573729, -40576664, 1099336640 },
{ 1602491969, -1198243421, -54033828, 1104102874 },
{ 1569681376, -1171712202, -68336232, 1109242951 },
{ 1535903034, -1144002672, -83490283, 1114768012 },
{ 1501214217, -1115139804, -99500537, 1120688612 },
{ 1465672543, -1085150872, -116369673, 1127014674 },
{ 1429335870, -1054065386, -134098456, 1133755434 },
{ 1392262197, -1021915008, -152685713, 1140919396 },
{ 1354509561, -988733472, -172128317, 1148514279 },
{ 1316135937, -954556500, -192421168, 1156546975 },
{ 1277199143, -919421711, -213557192, 1165023502 },
{ 1237756746, -883368521, -235527331, 1173948963 },
{ 1197865964, -846438056, -258320555, 1183327509 },
{ 1157583583, -808673040, -281923867, 1193162296 },
{ 1116965864, -770117699, -306322321, 1203455458 },
{ 1076068460, -730817652, -331499039, 1214208068 },
{ 1034946331, -690819803, -357435245, 1225420117 },
{ 993653670, -650172227, -384110290, 1237090482 },
{ 952243823, -608924066, -411501694, 1249216905 },
{ 910769215, -567125407, -439585189, 1261795980 },
{ 869281283, -524827174, -468334763, 1274823127 },
{ 827830410, -482081009, -497722717, 1288292592 },
{ 786465858, -438939161, -527719724, 1302197426 },
{ 745235713, -395454366, -558294884, 1316529492 },
{ 704186825, -351679735, -589415797, 1331279454 },
{ 663364761, -307668642, -621048630, 1346436786 },
{ 622813749, -263474604, -653158195, 1361989776 },
{ 582576640, -219151175, -685708021, 1377925534 },
{ 542694862, -174751833, -718660440, 1394230009 },
{ 503208384, -130329869, -751976669, 1410888002 },
{ 464155683, -85938284, -785616899, 1427883191 },
{ 425573709, -41629681, -819540382, 1445198153 },
{ 387497865, 2543838, -853705521, 1462814390 },
{ 349961980, 46530769, -888069972, 1480712364 },
{ 312998288, 90280305, -922590727, 1498871529 },
